link,rating,date,user_name,description,likes,sentiment_score
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkdnYzSGh3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICdvv3HhwE%7CCgwIy8G4rgYQiKeXmQM%7C?hl=en,3.0,7 months ago,Clement Mascarenhas,"To begin with there is no taste of  “authentic Mangalorean food” but just the menu. I visited with my friends for lunch with great excitement assuming it is authentic mangalorean (the name kudla misled us).
Ambiance is good, ppl at the restaurant kind and helpful.
We ordered mangalore goli bajje (was good) chicken ghee roast (there was hardly any ghee in it, it was pure chilli masala, the meat was frozen n tasteless), mutton sukka (average), kori rotti (abv average, again chkn meat frozen), neer dosa (average), butter milk (good),& pepper panner (good).
The price range is ok but calling it as authentic Mangalorean is inappropriate. They have lot to improve on taste and fresh Ingredients (meat especially).
So people who want to try, surely u can but lower ur expectation. I don’t think i will ever visit. This assessment is based on me as a Mangalorean & food is no match to my native.",3,-1.6043956043956045
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURza291ZXV3RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDskoueuwE%7CCgwI2crk8gUQwLG1yAM%7C?hl=en,1.0,4 years ago,Soumia T S,Pathetic service,0,-1.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNJOWVybllnEAE!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICI9ernYg%7CCgsI9ZGC4AUQ5bniFA%7C?hl=en,3.0,5 years ago,A,Ok,0,-1.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQweVBHcVdBEAE!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgID0yPGqWA%7CCgsImZ6x7QUQ4KO6AQ%7C?hl=en,2.0,4 years ago,Marcus Tan,"While the food is reasonably priced and taste above satisfactory, the service is appalling. Nobody bothers to come offer a menu till much later; the tables are not clean, and they take forever to serve the dishes - one each time. This is a Sun evening btw with hardly any other customers around.",0,-0.7931034482758621
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBMUktaS13RRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDA1I-i-wE%7CCgwIsf-K1wUQwIv__AI%7C?hl=en,1.0,6 years ago,Prasoon Srivastava,"Pretty pathetic place in terms of customer service! Went there on 27 Apr with friends. We ordered mutton and chicken biryani one each. The guy returned after 20 min to tell that chicken biryani is not available and can you change to mutton biryani instead which we agreed to. He returned again after around 3-4 min and said can you change again, we don't have mutton biryani and have only 1 chicken biryani. What really got us irritated was that just a few min ago he had mentioned that chicken Biryani is finished and then it magically appeared. We decided to cancel our order and return without having our lunch
Ambience - Bad
Food - Did not taste
Customer service - Pathetic",0,-0.5873015873015873
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN3amVYN0JREAE!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICwjeX7BQ%7CCgwIzr7W1wUQgJKG9gE%7C?hl=en,1.0,6 years ago,Shabari Girish,"Pros : Food was good
Order A la carte
Booze all enjoyed

Cons : Service was not good , Couldn handle the crowd on Friday eve
People who ordered buffet are the losers

If you think you can invite 30 pax by ordering for 28 pax it’s definetly the wrong place

You have to order for 30 pax and invite 15 pax

And since ours was a bad experience am letting you all know

(The quantity was insufficient for big appetites )

That 1 start is because the food was decent couldn’t resist giving a star",0,-0.49019607843137253
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkc1pfLXhRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICdsZ_-xQE%7CCgwI75-7rgYQ-PjI7AE%7C?hl=en,3.0,7 months ago,Raja Muthuramalingam,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNnbVplX3JBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICgmZe_rAE%7CCgwIrb2m2wUQwPLj7AI%7C?hl=en,4.0,6 years ago,Rajagopalan Ra,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURnOEszSXJBRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgIDg8K3IrAE%7CCgwIpYy-3AUQ-PSNjgI%7C?hl=en,4.0,6 years ago,Harjoben Singh,,0,0.0
https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNjc01tenJRRRAB!2m1!1s0x0:0x51ff777ed732ea18!3m1!1s2@1:CIHM0ogKEICAgICcsMmzrQE%7CCgsIi82d8wUQ6IeUIw%7C?hl=en,4.0,4 years ago,Ashutosh Tiwari,,0,0.0
