Word,Frequency
food,149
good,127
place,72
taste,59
india,55
service,54
mangalore,43
nice,42
chicken,39
mutton,35
restaurant,34
great,34
authentic,29
best,26
try,24
bryan,24
staff,23
dish,22
price,21
thee,20
ordered,19
like,19
time,19
drink,19
visit,18
friendly,17
one,17
roast,17
absence,17
little,16
fish,16
singapore,15
must,15
quinine,15
friend,14
go,14
u,14
awesome,13
’,13
back,12
cry,12
would,12
britain,12
quite,11
really,11
delicious,11
beer,11
biriyani,11
dinner,10
nasal,10
meal,10
gadbad,10
also,10
south,10
excellent,10
route,9
get,9
experience,9
amazing,9
mori,9
never,9
served,9
change,9
worth,9
give,9
super,8
took,8
spice,8
went,8
lunch,8
definitely,8
top,8
order,8
carry,8
alliance,8
bar,8
3,7
fresh,7
2,7
gun,7
gold,7
tula,7
recommend,7
find,7
need,7
decent,7
average,7
atmosphere,7
tried,7
loved,7
vegetarian,7
option,7
area,7
want,7
customer,7
well,7
enjoy,7
lovely,7
especially,7
location,7
1,6
home,6
bit,6
bare,6
day,6
still,6
love,6
dose,6
reasonable,6
quality,6
people,6
dont,6
enjoyed,6
rooftop,6
variety,6
family,6
rice,6
piece,6
ok,6
snack,6
portion,5
around,5
liked,5
tafa,5
however,5
that,5
look,5
next,5
feel,5
totally,5
roi,5
say,5
dum,5
got,5
special,5
compared,5
menu,5
eat,5
made,5
ve,5
roof,5
cap,5
friday,5
pay,5
decided,4
sorry,4
meat,4
last,4
leave,4
without,4
overall,4
highly,4
happy,4
waiting,4
know,4
even,4
close,4
unfordable,4
may,4
new,4
met,4
pu,4
goose,4
“,4
”,4
today,4
person,4
came,4
heritage,4
butter,4
better,4
away,4
everything,4
non,4
jyothi,4
welcoming,4
available,4
come,4
take,4
serve,4
bad,4
weekend,4
kind,4
chill,4
n,4
pepper,4
limited,4
star,4
hang,4
peerage,4
samoa,4
crowded,4
relax,4
wait,4
evening,4
slow,4
expensive,4
fantastic,3
enough,3
near,3
weekly,3
clean,3
similar,3
disappointing,3
quantity,3
anal,3
sweet,3
soft,3
suitable,3
miner,3
trying,3
village,3
straight,3
absolutely,3
excited,3
tell,3
set,3
visited,3
perfect,3
less,3
slightly,3
owner,3
wonderful,3
vice,3
🍺,3
open,3
mind,3
much,3
kann,3
chin,3
early,3
rd,3
morris,3
let,3
mention,3
finished,3
since,3
else,3
management,3
different,3
style,3
think,3
table,3
paper,3
mummy,3
treat,3
poor,3
road,3
wife,3
warm,3
recommendation,3
moment,3
fried,3
easily,3
ever,3
item,3
enjoying,3
something,3
small,3
frozen,3
turn,3
thoroughly,3
improve,3
crowd,3
none,3
reasonably,3
group,3
hangout,3
beautiful,3
team,3
north,3
seeragasamba,3
pathetic,3
min,3
simply,3
song,3
missed,3
boone,3
response,3
view,3
kill,3
parotid,3
party,3
cheap,2
see,2
finally,2
empty,2
chew,2
didn,2
seem,2
4,2
5,2
native,2
nothing,2
bud,2
first,2
mamma,2
plan,2
nervous,2
local,2
courteous,2
longer,2
eating,2
dindigul,2
drawn,2
based,2
preference,2
15,2
710,2
milan,2
12,2
twice,2
added,2
garlic,2
satisfied,2
full,2
upper,2
weld,2
moved,2
def,2
going,2
sit,2
business,2
park,2
later,2
chance,2
always,2
used,2
extra,2
reason,2
bill,2
reduced,2
example,2
rich,2
part,2
45,2
changed,2
found,2
lane,2
concentrate,2
water,2
hope,2
old,2
baby,2
started,2
thanks,2
mr,2
member,2
way,2
end,2
wise,2
surprise,2
chef,2
walked,2
review,2
walk,2
completely,2
unique,2
looking,2
right,2
pint,2
upon,2
draught,2
recommended,2
return,2
sign,2
die,2
eaten,2
nan,2
disappointed,2
yet,2
speed,2
keep,2
more,2
sure,2
forgot,2
heart,2
jot,2
arrived,2
tasted,2
usually,2
match,2
missing,2
chess,2
begin,2
hardly,2
sunk,2
range,2
lot,2
lower,2
expectation,2
fast,2
far,2
plus,2
suited,2
😊,2
beyond,2
could,2
term,2
searched,2
map,2
start,2
serf,2
dessert,2
value,2
superb,2
copy,2
bee,2
wide,2
choice,2
dine,2
door,2
flavour,2
said,2
hygienic,2
ill,2
whole,2
buffet,2
big,2
fan,2
improved,2
earlier,2
trata,2
pro,2
son,2
hour,2
air,2
returned,2
20,2
brought,2
late,2
colleague,2
hidden,2
tandoori,2
till,2
everyone,2
very,2
liquor,2
night,2
mushroom,2
long,2
65,2
invite,2
30,2
ordering,2
locality,2
tail,2
state,2
space,2
thing,2
seems,2
esp,2
invited,1
police,1
station,1
pleased,1
opening,1
pm,1
environs,1
following,1
gray,1
seemed,1
generous,1
reminding,1
reasoning,1
takeaway,1
appropriately,1
fluffy,1
crutch,1
coronet,1
chimney,1
probably,1
satisfies,1
year,1
disappoint,1
summer,1
anna,1
along,1
signature,1
malo,1
ash,1
finish,1
cutting,1
hole,1
pocket,1
uncle,1
called,1
someone,1
wishing,1
sg,1
godson,1
admit,1
surmai,1
gash,1
ended,1
feast,1
habeas,1
depth,1
flavor,1
attentive,1
thinking,1
relishing,1
although,1
incorrect,1
remain,1
original,1
sold,1
shame,1
lasted,1
serving,1
coastal,1
mon,1
sister,1
mundi,1
pas,1
chittinadu,1
beach,1
combination,1
chat,1
motto,1
sunday,1
ensure,1
establishment,1
lover,1
unfamiliar,1
waiter,1
suggested,1
anarkali,1
tibia,1
charred,1
corner,1
11,1
7510,1
8510,1
x,1
910,1
14,1
comparison,1
goodge,1
entered,1
despite,1
already,1
okay,1
update,1
address,1
rainy,1
discover,1
you,1
driver,1
texturetaste,1
cab,1
yes,1
wanted,1
sreeagasamba,1
making,1
often,1
drinksside,1
aug,1
2023,1
surprised,1
increased,1
onion,1
pakkoda,1
ty,1
highclass,1
💯,1
ac,1
terrible,1
waited,1
minute,1
husband,1
alright,1
save,1
trip,1
somewhere,1
june,1
2024,1
moving,1
pulimunchi,1
stuff,1
luckily,1
true,1
raw,1
world,1
awful,1
bitter,1
obviously,1
low,1
woman,1
bathroom,1
flush,1
working,1
horrible,1
condition,1
specific,1
nowadays,1
worse,1
2020,1
bos,1
respect,1
glass,1
to,1
month,1
smaller,1
section,1
operational,1
privacy,1
bursa,1
coming,1
bhajje,1
main,1
blew,1
sock,1
soon,1
thin,1
miss,1
icecream,1
complete,1
experienced,1
factor,1
m,1
both,1
notch,1
though,1
familiar,1
posted,1
bencoolen,1
delight,1
importantly,1
dhaneswaran,1
tremendous,1
make,1
thank,1
cheer,1
va,1
jena,1
updated,1
pop,1
pintscuisine,1
vincintynot,1
jointszoomed,1
hereguessed,1
charm,1
quiet,1
oris,1
catching,1
foot,1
at,1
rub,1
👍🏻,1
objective,1
stumbled,1
seeing,1
art,1
signal,1
pricking,1
across,1
vicinity,1
👍,1
prompt,1
cuisinefood,1
cauliflower,1
random,1
walking,1
grocery,1
chanced,1
curiosity,1
paid,1
fragrant,1
sits,1
weren,1
lady,1
doesn,1
cart,1
cool,1
speciality,1
potato,1
writer,1
staring,1
gauge,1
uncomfortable,1
traditional,1
and,1
occasion,1
buttermilk,1
previous,1
schezwan,1
manchuria,1
cava,1
banged,1
frychicken,1
lollipop,1
mix,1
free,1
keen,1
explore,1
am,1
spend,1
write,1
pick,1
busy,1
shout,1
seafood,1
chondral,1
child,1
size,1
sufficient,1
provided,1
thicker,1
funny,1
charged,1
informed,1
tiny,1
bowl,1
told,1
wouldn,1
extended,1
amazing…,1
👍🍻,1
actuallyhoping,1
bring,1
excitement,1
assuming,1
name,1
misled,1
pp,1
helpful,1
pure,1
tactless,1
abe,1
milk,1
manner,1
calling,1
inappropriate,1
ingredient,1
surely,1
or,1
assessment,1
tea,1
gone,1
music,1
cheapest,1
somewhat,1
comprise,1
unfortunately,1
felt,1
bunch,1
literally,1
it,1
remind,1
definitely…,1
blindfolded,1
spot,1
difference,1
pawn,1
often…,1
bier,1
show,1
fine,1
currently,1
quickly,1
money……fish,1
…thee,1
…,1
fantastic……dessert,1
craving,1
atlas,1
saturday,1
game,1
choose,1
accessible,1
basic,1
domain,1
😋poor,1
joyful,1
rest,1
mixture,1
nonvegetarian,1
charming,1
hospitality,1
apt,1
economical,1
cooked,1
aromatic,1
rating,1
proper,1
pack,1
send,1
can,1
due,1
put,1
dry,1
takeawaythe,1
highlight,1
everytime,1
in,1
attached,1
garden,1
arranged,1
office,1
project,1
booked,1
included,1
including,1
anjappar,1
unbearable,1
money,1
is,1
related,1
feedback,1
anyway,1
